start end nproc q_block d_block dataset
1733179097.477371563 1733179110.771114034 104 1 1 deep
1733179077.106164607 1733179116.364927820 216 100 100 deep
1733179110.779576374 1733179134.126821176 96 1 1 deep
1733179134.134158880 1733179149.003488711 88 1 1 deep
1733179116.372403799 1733179154.922708418 208 100 100 deep
1733179149.011786451 1733179168.634911201 80 1 1 deep
1733179154.930417452 1733179194.102544750 200 100 100 deep
1733179168.643548088 1733179199.727216671 72 1 1 deep
1733179199.735526247 1733179227.579123869 64 1 1 deep
1733179194.111027340 1733179232.246854503 192 100 100 deep
1733179227.586851428 1733179264.599056184 56 1 1 deep
1733179232.254688273 1733179270.079278045 184 100 100 deep
1733179264.608619669 1733179296.359423851 48 1 1 deep
1733179270.092283892 1733179307.948640262 176 100 100 deep
1733179296.367950672 1733179334.081023647 40 1 1 deep
1733179307.956902249 1733179344.386673217 168 100 100 deep
1733179344.394639590 1733179378.645940971 160 100 100 deep
1733179334.088543511 1733179402.120343640 32 1 1 deep
1733179378.653358081 1733179411.909660871 152 100 100 deep
1733179411.917377533 1733179444.266753501 144 100 100 deep
1733179402.128143606 1733179475.134385513 24 1 1 deep
1733179444.275345236 1733179475.160446945 136 100 100 deep
1733179475.167918249 1733179505.815344061 128 100 100 deep
1733179505.825603269 1733179534.309022921 120 100 100 deep
1733179534.322606580 1733179561.163599748 112 100 100 deep
1733179561.172303527 1733179587.910118661 104 100 100 deep
1733179475.142191105 1733179593.220459326 16 1 1 deep
1733179587.918216707 1733179614.235216895 96 100 100 deep
1733179614.243473438 1733179640.354505079 88 100 100 deep
1733179640.362990284 1733179667.120108062 80 100 100 deep
1733179667.128131043 1733179694.569498163 72 100 100 deep
1733179694.578297786 1733179723.312117058 64 100 100 deep
1733179593.228088866 1733179728.080358644 8 1 1 deep
1733179723.320444167 1733179753.942233104 56 100 100 deep
1733179753.950099971 1733179787.028207970 48 100 100 deep
1733179787.035825284 1733179821.871405389 40 100 100 deep
1733179821.879746273 1733179862.991074756 32 100 100 deep
1733179728.089378944 1733179867.525784113 4 1 1 deep
1733179862.998985808 1733179914.098277587 24 100 100 deep
1733179914.105761474 1733179982.923047077 16 100 100 deep
1733179982.931285911 1733180108.592477788 8 100 100 deep
1733179867.533382079 1733180138.911564039 2 1 1 deep
1733180108.600656126 1733180344.919303301 4 100 100 deep
1733180138.922802743 1733180675.759381200 1 1 1 deep
1733251606.428389804 1733251661.263986455 256 100 100 gist
1733251625.914624461 1733251704.751557686 256 1 1 gist
1733251661.278085638 1733251716.221826631 248 100 100 gist
1733251704.760103550 1733251761.962692867 248 1 1 gist
1733251716.231208926 1733251772.237874279 240 100 100 gist
1733251772.246992523 1733251828.272214486 232 100 100 gist
1733251761.971412429 1733251843.794860507 240 1 1 gist
1733251828.280856985 1733251885.055425670 224 100 100 gist
1733251843.805572422 1733251908.100939933 232 1 1 gist
1733251885.064252945 1733251942.801664381 216 100 100 gist
1733251908.109482940 1733251998.180069220 224 1 1 gist
1733251942.810956150 1733252001.512401483 208 100 100 gist
1733252001.521819097 1733252061.988435111 200 100 100 gist
1733251998.189119783 1733252072.500790341 216 1 1 gist
1733252061.998336335 1733252123.447563991 192 100 100 gist
1733252072.509256728 1733252147.881421391 208 1 1 gist
1733252123.457251875 1733252186.845471178 184 100 100 gist
1733252147.889726229 1733252224.584047817 200 1 1 gist
1733252186.854233857 1733252252.378441711 176 100 100 gist
1733252252.387013336 1733252319.977559670 168 100 100 gist
1733252224.592614324 1733252330.085141351 192 1 1 gist
1733252319.987141942 1733252389.962427581 160 100 100 gist
1733252330.093402916 1733252437.768853944 184 1 1 gist
1733252389.970522884 1733252462.875701624 152 100 100 gist
1733252462.892793273 1733252539.012400904 144 100 100 gist
1733252437.778643486 1733252558.477745363 176 1 1 gist
1733252539.020855480 1733252618.312993773 136 100 100 gist
1733252558.485487770 1733252646.843360881 168 1 1 gist
1733252618.323433471 1733252701.694906507 128 100 100 gist
1733252701.713435818 1733252790.300675516 120 100 100 gist
1733252646.851650462 1733252793.194018699 160 1 1 gist
1733252793.202013887 1733252881.177171594 152 1 1 gist
1733252790.309911541 1733252883.313543164 112 100 100 gist
1733252881.185570746 1733252973.643242624 144 1 1 gist
1733252883.321437424 1733252982.298110009 104 100 100 gist
1733252973.651526172 1733253060.898767746 136 1 1 gist
1733252982.306476272 1733253088.393780532 96 100 100 gist
1733253060.907018870 1733253156.577034372 128 1 1 gist
1733253088.402203194 1733253203.164001447 88 100 100 gist
1733253156.585315412 1733253279.520349951 120 1 1 gist
1733253203.172374912 1733253328.495886031 80 100 100 gist
1733309312.220991536 1733317438.223520219 1 100 100 gist
1733317438.237722705 1733321522.438874630 2 100 100 gist
1733321522.447614375 1733323583.167675073 4 100 100 gist
1733323583.175696262 1733324618.567946372 8 100 100 gist
1733324618.576082936 1733325145.712556145 16 100 100 gist
1733325145.722587601 1733325536.836703503 24 100 100 gist
1733325536.845406892 1733325835.329264686 32 100 100 gist
1733325835.338213675 1733326073.965236205 40 100 100 gist
1733326073.974158755 1733326274.539369214 48 100 100 gist
1733326274.547995576 1733326447.974354007 56 100 100 gist
1733326447.982962095 1733326601.043390761 64 100 100 gist
1733326601.053221375 1733326738.111534065 72 100 100 gist
1733326738.120846773 1733326862.931548531 80 100 100 gist
1733326862.940523877 1733326977.368540868 88 100 100 gist
1733326977.377069987 1733327083.366038969 96 100 100 gist
1733327083.395913649 1733327182.108531879 104 100 100 gist
1733327182.116190010 1733327274.581633970 112 100 100 gist
1733327274.590308657 1733327361.904393122 120 100 100 gist
1733327361.915428883 1733327444.791722017 128 100 100 gist
1733327444.800682112 1733327523.619222525 136 100 100 gist
1733327523.627477757 1733327599.403535560 144 100 100 gist
1733327599.412112108 1733327672.114201877 152 100 100 gist
1733327672.123735814 1733327741.868740558 160 100 100 gist
1733327741.877476436 1733327809.505088865 168 100 100 gist
1733327809.514174612 1733327874.848754745 176 100 100 gist
1733327874.857539101 1733327938.523568333 184 100 100 gist
1733327938.532099728 1733328000.033920238 192 100 100 gist
1733328000.042591243 1733328060.755671511 200 100 100 gist
1733328060.764465292 1733328119.330414769 208 100 100 gist
1733328119.338429068 1733328176.842398065 216 100 100 gist
1733328176.851168632 1733328233.553537253 224 100 100 gist
1733328233.563763868 1733328289.591596453 232 100 100 gist
1733328289.600669801 1733328344.670310017 240 100 100 gist
1733328344.678894845 1733328399.167401229 248 100 100 gist
1733328399.177409723 1733328453.990353835 256 100 100 gist
