start end threads q_block b_block dataset data_size query_size
1733311499.396747971 1733311536.011656622 256 50 500 gist 1000000 10000
1733311536.025175008 1733311653.546991077 256 50 1000 gist 1000000 10000
1733311653.555578953 1733311797.993038370 256 50 5000 gist 1000000 10000
1733311798.000255826 1733311954.339514687 256 50 10000 gist 1000000 10000
1733311954.347315230 1733312118.930552759 256 100 1 gist 1000000 10000
1733312118.939714982 1733312213.921508137 256 100 5 gist 1000000 10000
1733312213.929560958 1733312290.577477560 256 100 10 gist 1000000 10000
1733312290.587089809 1733312343.960911978 256 100 50 gist 1000000 10000
1733312343.969880214 1733312397.473168977 256 100 100 gist 1000000 10000
1733312397.481653222 1733312400.288842215 256 100 500 gist 1000000 10000
1733312400.296587479 1733312420.413076254 256 100 1000 gist 1000000 10000
1733312420.421483881 1733312719.303928087 256 100 5000 gist 1000000 10000
1733312719.313017163 1733312780.246643130 256 100 10000 gist 1000000 10000
1733312780.254131917 1733312942.126651097 256 500 1 gist 1000000 10000
1733312942.135280205 1733313034.828961853 256 500 5 gist 1000000 10000
1733313034.842613019 1733313111.318906353 256 500 10 gist 1000000 10000
1733313111.330643318 1733313164.947941011 256 500 50 gist 1000000 10000
1733313164.956381561 1733313217.953925088 256 500 100 gist 1000000 10000
1733313217.966608356 1733313220.779513097 256 500 500 gist 1000000 10000
1733313220.787281586 1733313226.126771284 256 500 1000 gist 1000000 10000
1733313226.134001150 1733313560.309391980 256 500 5000 gist 1000000 10000
1733313560.318063409 1733313873.867979877 256 500 10000 gist 1000000 10000
1733313873.878700886 1733314047.473223259 256 1000 1 gist 1000000 10000
1733314047.481456631 1733314140.010905069 256 1000 5 gist 1000000 10000
1733314140.019726111 1733314218.914174970 256 1000 10 gist 1000000 10000
1733314218.922932380 1733314271.832825632 256 1000 50 gist 1000000 10000
1733314271.841138332 1733314325.890453027 256 1000 100 gist 1000000 10000
1733314325.900854576 1733314358.752072041 256 1000 500 gist 1000000 10000
1733314358.759874635 1733314473.726964772 256 1000 1000 gist 1000000 10000
1733314473.736608398 1733314499.518189177 256 1000 5000 gist 1000000 10000
1733314499.525723145 1733314899.988306209 256 1000 10000 gist 1000000 10000
1733314899.995587088 1733315062.871988052 256 5000 1 gist 1000000 10000
1733315062.880072704 1733315155.233004243 256 5000 5 gist 1000000 10000
1733315155.241598031 1733315232.310773572 256 5000 10 gist 1000000 10000
1733315232.319049307 1733315285.217986823 256 5000 50 gist 1000000 10000
1733315285.235388675 1733315338.296483629 256 5000 100 gist 1000000 10000
1733315338.304568150 1733315340.729860240 256 5000 500 gist 1000000 10000
1733315340.736901720 1733315343.024849298 256 5000 1000 gist 1000000 10000
1733315343.032085015 1733315736.520880940 256 5000 5000 gist 1000000 10000
1733315736.528800551 1733316100.055058659 256 5000 10000 gist 1000000 10000
1733316100.062564914 1733316328.793415347 256 10000 1 gist 1000000 10000
1733316328.802151168 1733316420.872732810 256 10000 5 gist 1000000 10000
1733316420.881067013 1733316498.454028559 256 10000 10 gist 1000000 10000
1733316498.461829219 1733316551.764956676 256 10000 50 gist 1000000 10000
1733316551.772584430 1733316605.067674838 256 10000 100 gist 1000000 10000
1733316605.075979024 1733316613.496256539 256 10000 500 gist 1000000 10000
1733316613.504172033 1733316633.353135362 256 10000 1000 gist 1000000 10000
1733316633.361319527 1733317072.163534013 256 10000 5000 gist 1000000 10000
1733317072.170423206 1733317432.657319695 256 10000 10000 gist 1000000 10000
